21/07/2013 16:25:58.278795 [scalapnt_fractal_1000_proximity_lp] found_conflicts 5
21/07/2013 16:25:58.282996 [scalapnt_fractal_1000_proximity_lp] resolved_conflicts 5
21/07/2013 16:25:58.284147 [scalapnt_fractal_1000_proximity_lp] finalized_level 5
21/07/2013 16:25:58.286708 [scalapnt_fractal_1000_proximity_lp] initialized_level 4
21/07/2013 16:25:58.288145 [scalapnt_fractal_1000_proximity_lp] found_conflicts 4
21/07/2013 16:25:58.289414 [scalapnt_fractal_1000_proximity_lp] resolved_conflicts 4
21/07/2013 16:25:58.290584 [scalapnt_fractal_1000_proximity_lp] finalized_level 4
21/07/2013 16:25:58.293050 [scalapnt_fractal_1000_proximity_lp] initialized_level 3
21/07/2013 16:25:58.294485 [scalapnt_fractal_1000_proximity_lp] found_conflicts 3
21/07/2013 16:25:58.295723 [scalapnt_fractal_1000_proximity_lp] resolved_conflicts 3
21/07/2013 16:25:58.296904 [scalapnt_fractal_1000_proximity_lp] finalized_level 3
21/07/2013 16:25:58.299396 [scalapnt_fractal_1000_proximity_lp] initialized_level 2
21/07/2013 16:25:58.301209 [scalapnt_fractal_1000_proximity_lp] found_conflicts 2
21/07/2013 16:25:58.304924 [scalapnt_fractal_1000_proximity_lp] resolved_conflicts 2
21/07/2013 16:25:58.306082 [scalapnt_fractal_1000_proximity_lp] finalized_level 2
21/07/2013 16:25:58.308603 [scalapnt_fractal_1000_proximity_lp] initialized_level 1
21/07/2013 16:25:58.310038 [scalapnt_fractal_1000_proximity_lp] found_conflicts 1
21/07/2013 16:25:58.311293 [scalapnt_fractal_1000_proximity_lp] resolved_conflicts 1
21/07/2013 16:25:58.312439 [scalapnt_fractal_1000_proximity_lp] finalized_level 1
21/07/2013 16:25:58.314987 [scalapnt_fractal_1000_proximity_lp] initialized_level 0
21/07/2013 16:25:58.316416 [scalapnt_fractal_1000_proximity_lp] found_conflicts 0
21/07/2013 16:25:58.317678 [scalapnt_fractal_1000_proximity_lp] resolved_conflicts 0
21/07/2013 16:25:58.318855 [scalapnt_fractal_1000_proximity_lp] finalized_level 0
21/07/2013 16:25:58.402961 [scalapnt_fractal_1000_proximity_lp] COMMIT
21/07/2013 16:25:58.403464 [scalapnt_fractal_2000_cellbound_heuristic] BEGIN_TRANSACTION
21/07/2013 16:26:04.340352 [scalapnt_fractal_2000_cellbound_heuristic] initialized
21/07/2013 16:26:04.340738 [scalapnt_fractal_2000_cellbound_heuristic] solver "heuristic"
21/07/2013 16:26:04.341054 [scalapnt_fractal_2000_cellbound_heuristic] constraints "cellbound(16,)"
21/07/2013 16:26:04.343827 [scalapnt_fractal_2000_cellbound_heuristic] inputstats {'geometry_types': ['POINT'], 'input': '(select * from pnt_30m_synthetic where x_order <= 2000) t', 'total_rank': 990.73342029936612, 'total_recs': 2000L}
21/07/2013 16:26:04.346422 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 9
21/07/2013 16:26:04.693837 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 9
21/07/2013 16:26:04.751017 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 9
21/07/2013 16:26:04.752366 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 9
21/07/2013 16:26:04.755079 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 8
21/07/2013 16:26:04.779217 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 8
21/07/2013 16:26:04.784079 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 8
21/07/2013 16:26:04.785293 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 8
21/07/2013 16:26:04.787859 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 7
21/07/2013 16:26:04.798654 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 7
21/07/2013 16:26:04.799605 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 7
21/07/2013 16:26:04.800761 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 7
21/07/2013 16:26:04.803260 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 6
21/07/2013 16:26:04.815809 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 6
21/07/2013 16:26:04.818124 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 6
21/07/2013 16:26:04.819317 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 6
21/07/2013 16:26:04.821888 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 5
21/07/2013 16:26:04.831529 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 5
21/07/2013 16:26:04.833178 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 5
21/07/2013 16:26:04.834360 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 5
21/07/2013 16:26:04.836884 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 4
21/07/2013 16:26:04.844642 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 4
21/07/2013 16:26:04.845589 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 4
21/07/2013 16:26:04.846753 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 4
21/07/2013 16:26:04.849308 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 3
21/07/2013 16:26:04.857946 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 3
21/07/2013 16:26:04.859658 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 3
21/07/2013 16:26:04.860867 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 3
21/07/2013 16:26:04.863477 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 2
21/07/2013 16:26:04.871075 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 2
21/07/2013 16:26:04.872734 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 2
21/07/2013 16:26:04.873921 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 2
21/07/2013 16:26:04.876656 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 1
21/07/2013 16:26:04.882519 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 1
21/07/2013 16:26:04.883493 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 1
21/07/2013 16:26:04.884717 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 1
21/07/2013 16:26:04.887259 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 0
21/07/2013 16:26:04.894051 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 0
21/07/2013 16:26:04.895608 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 0
21/07/2013 16:26:04.896827 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 0
21/07/2013 16:26:04.961228 [scalapnt_fractal_2000_cellbound_heuristic] COMMIT
21/07/2013 16:26:04.961731 [scalapnt_fractal_2000_proximity_heuristic] BEGIN_TRANSACTION
21/07/2013 16:26:10.892241 [scalapnt_fractal_2000_proximity_heuristic] initialized
21/07/2013 16:26:10.892634 [scalapnt_fractal_2000_proximity_heuristic] solver "heuristic"
21/07/2013 16:26:10.892949 [scalapnt_fractal_2000_proximity_heuristic] constraints "proximity(10,)"
21/07/2013 16:26:10.895718 [scalapnt_fractal_2000_proximity_heuristic] inputstats {'geometry_types': ['POINT'], 'input': '(select * from pnt_30m_synthetic where x_order <= 2000) t', 'total_rank': 1011.0877819024026, 'total_recs': 2000L}
21/07/2013 16:26:10.898314 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 9
21/07/2013 16:26:11.102365 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 9
21/07/2013 16:26:11.291834 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 9
21/07/2013 16:26:11.293185 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 9
21/07/2013 16:26:11.296151 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 8
21/07/2013 16:26:11.315309 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 8
21/07/2013 16:26:11.321891 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 8
21/07/2013 16:26:11.323086 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 8
21/07/2013 16:26:11.325607 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 7
21/07/2013 16:26:11.336644 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 7
21/07/2013 16:26:11.339014 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 7
21/07/2013 16:26:11.340185 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 7
21/07/2013 16:26:11.342739 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 6
21/07/2013 16:26:11.348893 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 6
21/07/2013 16:26:11.350320 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 6
21/07/2013 16:26:11.351478 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 6
21/07/2013 16:26:11.354097 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 5
21/07/2013 16:26:11.357630 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 5
21/07/2013 16:26:11.358697 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 5
21/07/2013 16:26:11.359872 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 5
21/07/2013 16:26:11.362468 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 4
21/07/2013 16:26:11.365024 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 4
21/07/2013 16:26:11.365955 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 4
21/07/2013 16:26:11.367109 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 4
21/07/2013 16:26:11.369601 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 3
21/07/2013 16:26:11.372142 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 3
21/07/2013 16:26:11.373086 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 3
21/07/2013 16:26:11.374268 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 3
21/07/2013 16:26:11.376747 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 2
21/07/2013 16:26:11.379826 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 2
21/07/2013 16:26:11.380872 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 2
21/07/2013 16:26:11.382062 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 2
21/07/2013 16:26:11.384569 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 1
21/07/2013 16:26:11.387198 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 1
21/07/2013 16:26:11.388132 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 1
21/07/2013 16:26:11.389315 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 1
21/07/2013 16:26:11.391892 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 0
21/07/2013 16:26:11.396378 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 0
21/07/2013 16:26:11.397487 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 0
21/07/2013 16:26:11.398649 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 0
21/07/2013 16:26:11.472241 [scalapnt_fractal_2000_proximity_heuristic] COMMIT
21/07/2013 16:26:11.472745 [scalapnt_fractal_2000_cellbound_lp] BEGIN_TRANSACTION
21/07/2013 16:26:17.544884 [scalapnt_fractal_2000_cellbound_lp] initialized
21/07/2013 16:26:17.545250 [scalapnt_fractal_2000_cellbound_lp] solver "lp"
21/07/2013 16:26:17.545559 [scalapnt_fractal_2000_cellbound_lp] constraints "cellbound(16,)"
21/07/2013 16:26:17.548338 [scalapnt_fractal_2000_cellbound_lp] inputstats {'geometry_types': ['POINT'], 'input': '(select * from pnt_30m_synthetic where x_order <= 2000) t', 'total_rank': 999.07620534999296, 'total_recs': 2000L}
21/07/2013 16:26:17.550877 [scalapnt_fractal_2000_cellbound_lp] initialized_level 9
