21/07/2013 22:49:29.608416 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 8
21/07/2013 22:49:29.613115 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 8
21/07/2013 22:49:29.614288 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 8
21/07/2013 22:49:29.616680 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 7
21/07/2013 22:49:29.627370 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 7
21/07/2013 22:49:29.628293 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 7
21/07/2013 22:49:29.629463 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 7
21/07/2013 22:49:29.631932 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 6
21/07/2013 22:49:29.644172 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 6
21/07/2013 22:49:29.646338 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 6
21/07/2013 22:49:29.647488 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 6
21/07/2013 22:49:29.649921 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 5
21/07/2013 22:49:29.659479 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 5
21/07/2013 22:49:29.661228 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 5
21/07/2013 22:49:29.662408 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 5
21/07/2013 22:49:29.664801 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 4
21/07/2013 22:49:29.672468 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 4
21/07/2013 22:49:29.673401 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 4
21/07/2013 22:49:29.674555 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 4
21/07/2013 22:49:29.676995 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 3
21/07/2013 22:49:29.685526 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 3
