21/07/2013 17:28:20.220609 [scalalin_riversandstreams_2000_cellbound_lp] found_conflicts 4
21/07/2013 17:28:20.228558 [scalalin_riversandstreams_2000_cellbound_lp] resolved_conflicts 4
21/07/2013 17:28:20.229780 [scalalin_riversandstreams_2000_cellbound_lp] finalized_level 4
21/07/2013 17:28:20.232410 [scalalin_riversandstreams_2000_cellbound_lp] initialized_level 3
21/07/2013 17:28:21.135480 [scalalin_riversandstreams_2000_cellbound_lp] found_conflicts 3
21/07/2013 17:28:21.140165 [scalalin_riversandstreams_2000_cellbound_lp] resolved_conflicts 3
21/07/2013 17:28:21.141362 [scalalin_riversandstreams_2000_cellbound_lp] finalized_level 3
21/07/2013 17:28:21.143845 [scalalin_riversandstreams_2000_cellbound_lp] initialized_level 2
21/07/2013 17:28:21.985341 [scalalin_riversandstreams_2000_cellbound_lp] found_conflicts 2
21/07/2013 17:28:21.990343 [scalalin_riversandstreams_2000_cellbound_lp] resolved_conflicts 2
21/07/2013 17:28:21.991543 [scalalin_riversandstreams_2000_cellbound_lp] finalized_level 2
21/07/2013 17:28:21.994204 [scalalin_riversandstreams_2000_cellbound_lp] initialized_level 1
21/07/2013 17:28:22.798553 [scalalin_riversandstreams_2000_cellbound_lp] found_conflicts 1
21/07/2013 17:28:22.799945 [scalalin_riversandstreams_2000_cellbound_lp] resolved_conflicts 1
21/07/2013 17:28:22.801135 [scalalin_riversandstreams_2000_cellbound_lp] finalized_level 1
21/07/2013 17:28:22.803709 [scalalin_riversandstreams_2000_cellbound_lp] initialized_level 0
21/07/2013 17:28:23.608919 [scalalin_riversandstreams_2000_cellbound_lp] found_conflicts 0
21/07/2013 17:28:23.610330 [scalalin_riversandstreams_2000_cellbound_lp] resolved_conflicts 0
21/07/2013 17:28:23.611529 [scalalin_riversandstreams_2000_cellbound_lp] finalized_level 0
21/07/2013 17:28:23.673403 [scalalin_riversandstreams_2000_cellbound_lp] COMMIT
21/07/2013 17:28:23.673911 [scalalin_riversandstreams_2000_proximity_lp] BEGIN_TRANSACTION
21/07/2013 17:28:24.589389 [scalalin_riversandstreams_2000_proximity_lp] initialized
21/07/2013 17:28:24.589743 [scalalin_riversandstreams_2000_proximity_lp] solver "lp"
21/07/2013 17:28:24.590065 [scalalin_riversandstreams_2000_proximity_lp] constraints "proximity(10,)"
21/07/2013 17:28:24.666901 [scalalin_riversandstreams_2000_proximity_lp] inputstats {'geometry_types': ['MULTILINESTRING'], 'input': '(select * from lin_30k_uswaterway where x_order <= 2000) t', 'total_rank': 158985.00559253249, 'total_recs': 2000L}
21/07/2013 17:28:24.669750 [scalalin_riversandstreams_2000_proximity_lp] initialized_level 9
21/07/2013 17:59:51.164583 [scalalin_riversandstreams_2000_proximity_lp] found_conflicts 9
21/07/2013 18:00:30.637470 [scalalin_riversandstreams_2000_proximity_lp] resolved_conflicts 9
21/07/2013 18:00:30.639042 [scalalin_riversandstreams_2000_proximity_lp] finalized_level 9
21/07/2013 18:00:30.642123 [scalalin_riversandstreams_2000_proximity_lp] initialized_level 8
21/07/2013 18:00:30.659836 [scalalin_riversandstreams_2000_proximity_lp] found_conflicts 8
21/07/2013 18:00:30.663777 [scalalin_riversandstreams_2000_proximity_lp] resolved_conflicts 8
21/07/2013 18:00:30.664938 [scalalin_riversandstreams_2000_proximity_lp] finalized_level 8
21/07/2013 18:00:30.667291 [scalalin_riversandstreams_2000_proximity_lp] initialized_level 7
21/07/2013 18:00:30.686401 [scalalin_riversandstreams_2000_proximity_lp] found_conflicts 7
21/07/2013 18:00:30.690564 [scalalin_riversandstreams_2000_proximity_lp] resolved_conflicts 7
